id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
58384,"Бедро цыпленка-бройлера «Домашняя курочка» охлажденное (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/bedro_ohlves/,319,410.99,Домашняя курочка
293528,"Тушка цыпленка-бройлера «СВОЯ» Фермерская отборная, 1 упаковка ~ 1,7 кг",https://www.auchan.ru/product/tushka-fermerskaya-otbornaya-svoya/,259,330.99,СВОЯ
58383,"Голень цыпленка-бройлера «Домашняя курочка» охлажденная (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/golen_ohlves/,359,454.99,Домашняя курочка
56874,"Филе грудки индейки «Пава Пава» большое охлажденное (2,5 - 3,2 кг), 1 упаковка ~ 3 кг",https://www.auchan.ru/product/file_bolsh_grud_ind_pavaval/,499,563.99,Пава Пава
287787,"Филе цыпленка-бройлера «Петелинка» малое, охлажденное, 550 г",https://www.auchan.ru/product/file-maloe-kur-550g-petelinka/,269.99,292.99,Петелинка
96170,"Филе из мяса цыпленка-бройлера «Ясные Зори», 830 г",https://www.auchan.ru/product/file_iz_myasa_cb_yaszori_830g/,339,351.99,Ясные Зори
163244,"Тушка утки АШАН Золотая птица 1 сорт, ~ 2 кг",https://www.auchan.ru/product/zp-tushka-utki-1s-ohl-v-u/,375.99,,АШАН Золотая птица
163247,Филе утки с кожей АШАН Золотая птица,https://www.auchan.ru/product/zp-file-bolshoe-utki-s-kozhey/,714.99,,АШАН Золотая птица
236004,"Бедро утки АШАН Золотая птица, вес",https://www.auchan.ru/product/zp-bedro-utki-v-u-skin/,507.99,,АШАН Золотая птица
163245,Окорочок утки АШАН Золотая птица,https://www.auchan.ru/product/zp-okorochok-utki-ohl-v-u-skin/,484.99,,АШАН Золотая птица
163246,Крыло утки АШАН Золотая птица,https://www.auchan.ru/product/zp-krylo-utki-lokt-plech-chast/,146.99,,АШАН Золотая птица
317221,"Тушка цыпленка корнишон АШАН Золотая птица, , ~1,4 кг",https://www.auchan.ru/product/tushka-cyplenka-kornishon/,509.99,,АШАН Золотая птица
120977,"Бескостное мясо индейки АШАН Красная птица (0,7-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/kpbeskostnoe_myaso_indeek/,350.99,,АШАН Красная птица
120976,"Филе бедра индейки АШАН Красная птица (0,8-1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/kpfile_bedra_indeyki/,427.99,,АШАН Красная птица
317225,"Голень куриная АШАН Золотая птица, ~1 кг",https://www.auchan.ru/product/golen-kurinaya/,406.99,,АШАН Золотая птица
317237,"Крыло куриное АШАН Золотая птица, ~1 кг",https://www.auchan.ru/product/krylo-kurinoe/,413.99,,АШАН Золотая птица
317233,"Филе куриное АШАН Золотая птица, ~1 кг",https://www.auchan.ru/product/file-kurinoe/,558.99,,АШАН Золотая птица
317229,"Бедро куриное АШАН Золотая птица, ~1 кг",https://www.auchan.ru/product/bedro-kurinoe/,356.99,,АШАН Золотая птица
120984,"Гуляш из индейки АШАН Красная птица, 500 г",https://www.auchan.ru/product/kpgulyash_iz_indeyki_05_kg/,198.99,,АШАН Красная птица
317217,"Курочка домашняя АШАН Золотая птица,, ~1,45 кг",https://www.auchan.ru/product/kurochka-domashnyaya/,385.99,,АШАН Золотая птица
134409,"Окорочок цыпленка-бройлера «Самарский бройлер» охлажденный (0,6-1 кг), 1 упаковка ~1 кг",https://www.auchan.ru/product/okorochok_cb_ohl_sam_br/,0,,Самарский бройлер
